content,start,duration
"&gt;&gt; Stephen: WELCOME BACK,
EVERYBODY!",0.467,3.603
"LADIES AND GENTLEMEN, MY FIRST
GUEST TONIGHT IS A GOLDEN GLOBE",4.07,4.872
"WINNER WHO&#39;S BEEN THE BAD GUY IN
XMEN, THE GOOD GUY IN &quot;STAR",8.942,6.306
"WARS&quot; AND THE TALENTED GUY IN
JUST ABOUT EVERYTHING.",15.248,3.237
PLEASE WELCOME OSCAR ISAAC!,18.485,2.702
"( CHEERS AND APPLAUSE )
( BAND PLAYING )",21.187,13.08
&gt;&gt; THANK YOU.,34.267,0.334
"&gt;&gt; Stephen: WELL, NICE TO HAVE
YOU ON, ESPECIALLY TONIGHT,",34.601,2.936
"BECAUSE TODAY IS THE
40th ANNIVERSARY OF THE",37.537,3.37
"RELEASE OF THE ORIGINAL &quot;STAR
WARS&quot; MOVIE.",40.907,3.07
"( CHEERS AND APPLAUSE )
AND I&#39;M ENOUGH OF A &quot;STAR WARS&quot;",43.977,3.47
"FAN NOBODY HAS TO TELL ME THAT
YOU&#39;RE PODAMERON.",47.447,5.038
&gt;&gt; YOU REALLY ARE A FAN.,52.485,0.868
&gt;&gt; Stephen: I AM.,53.353,1.234
"I SAW THE ORIGINAL &quot;STAR WARS&quot;
THREE WEEKS BEFORE IT CAME OUT",54.587,3.504
IN A TEST MARKET IN MY HOMETOWN.,58.091,3.737
DO YOU REMEMBER YOUR FIRST?,61.828,1.635
"OF ALL THE MOVIES, WHICH WAS THE
FIRST YOU SAW?",63.463,4.972
&gt;&gt; RETURN OF THE JEDI.,68.435,2.602
MY DAD TOOK ME.,71.037,1.168
I WAS BLOWN AWAY.,72.205,1.168
"&gt;&gt; Stephen: HOW OLD WERE YOU
AT THE TIME?",73.373,1.968
"&gt;&gt; THAT CAME OUT &#39;81, &#39;82?",75.341,8.776
"I WAS, LIKE, FOUR.",84.117,1.835
"( AUDIENCE REACTS )
&gt;&gt; Stephen: WAS THAT SCARY FOR",85.952,2.903
"A 4-YEAR-OLD TO SEE BECAUSE
THOSE EWOKS ARE PRETTY VIOLENT.",88.855,4.438
&gt;&gt; PRETTY FRIGHTENING.,93.293,1.101
"I REMEMBER WHEN DARTH VADER&#39;S
HELMET COMES OFF FOR THE FIRST",94.394,3.303
"TIME AND YOU SEE HE&#39;S JUST LIKE
A FAT OLD BALD GUY UNDERNEATH.",97.697,4.872
"&gt;&gt; Stephen: HE&#39;S A SITH LORD,
NOT A FAT OLD BALD GUY.",102.569,5.772
&gt;&gt; HE&#39;S PRETTY SCARRED UP.,108.341,0.601
"&gt;&gt; Stephen: THAT MUST HAVE
SCARED YOU.",108.942,2.002
&gt;&gt; THAT SHOCKED ME.,110.944,0.7
YEAH.,111.644,0.267
"YOU SEE A LOT OF THAT, YOU KNOW,
A LOT OF BAD DUDES ARE FAT, OLD,",111.911,6.674
BALD GUYS.,118.585,0.267
"&gt;&gt; Stephen: THAT&#39;S TRUE, WHO
JUST WANT TO BE LOVED.",118.852,3.67
HE JUST WANTS TO BE LOVED.,122.522,2.536
&gt;&gt; THEY JUST WANT TO BE HELD.,125.058,1.234
"&gt;&gt; Stephen: THEY JUST WANT TO
BE HELD.",126.292,3.37
"( LAUGHTER )
WHAT&#39;S THE SECURITY LIKE ON THE",129.662,1.602
IF FILM?,131.264,0.767
&gt;&gt; IT&#39;S CRAZY.,132.031,0.801
"THE FIRST TIME AROUND WE GOT
ACTUAL HARD SCRIPTS WE COULD",132.832,3.771
READ AND FLIP THROUGH.,136.603,0.8
"AT THE END OF SHOOTING, THEY&#39;RE,
LIKE, YOU HAVE TO GIVE THE",137.403,3.237
SCRIPT BACK.,140.64,1.268
"I WAS, LIKE, SURE.",141.908,1.602
I WENT HOME WITH MY SCRIPT.,143.51,2.268
"A WEEK LATER THEY SAID CALLED
AND SAID THEY&#39;D LOVE TO GET THE",145.778,4.839
SCRIPT BACK.,150.617,0.534
"I SAID, YEAH, I&#39;LL SEND IT.",151.151,1.735
"A WEEK GOES BY, AND THEY&#39;RE,
LIKE, THE LAWYERS WOULD LIKE THE",152.886,4.304
SCRIPT BACK.,157.19,1.101
"YES, RIGHT AWAY.",158.291,1.869
"( LAUGHTER )
THEY SAID AFTER THE MOVIE, YOU",160.16,2.535
CAN HAVE THE SCRIPT.,162.695,1.202
"AND AFTER IT CAME OUT I GOT A
LEATHER-BOUND THING WITH MY NAME",163.897,4.371
ON IT.,168.268,1.167
"&gt;&gt; Stephen: WE WERE LURKY
RIGHT BEFORE SHE PASSED TO HAVE",169.435,3.738
"CARRIE FISHER TO TALK TO HER
ABOUT HER NEW BOOK AND HER",173.173,3.903
"EXPERIENCE DURING THE FIRST
&quot;STAR WARS&quot; SERIES.",177.076,2.169
"DO YOU DO SCENES WITH HER
CHARACTER?",179.245,3.904
"&gt;&gt; YEAH, ACTUALLY, A LARGE
AMOUNT OF THE STUFF THAT I GOT",183.149,2.503
"TO DO WAS WITH CARRIE WHICH WAS
AMAZING.",185.652,3.403
"IT&#39;S ACTUALLY -- I REMEMBER THE
FIRST DAY OF SHOOTING WAS A",189.055,3.403
"SCENE WITH CARRIE AND IT WAS
STILL -- YOU KNOW, OFTENTIMES",192.458,4.238
"THE FIRST DAY, THE FILMMAKERS,
EVERYBODY&#39;S TRYING TO GET THE",196.696,3.27
"TONE AND FIGURE IT OUT, AND I
REMEMBER IT WAS A SCENE WHERE I",199.966,4.504
"COME TO TALK TO HER AND SHE WAS
VERY UPSET WITH ME AND SLAPS ME.",204.47,4.905
"AND RYAN KEPT DOING IT OVER AND
OVER --",209.375,2.937
&gt;&gt; Stephen: THE DIRECTOR?,212.312,1.101
"RYAN JOHNSON, THE DIRECTOR,
YEAH.",213.413,4.204
"IT ENDED UP BEING 27 TAKES OF
CARRIE JUST LEANING IN.",217.617,4.338
"AND EVERY TIME SHE WOULD HIT A
DIFFERENT SPOT IN MY FACE.",221.955,4.037
"&gt;&gt; Stephen: TO KEEP THE SCENE
FRESH.",225.992,2.603
"( LAUGHTER )
&gt;&gt; SHE WAS BY FAR THE QUICKEST",228.595,3.336
"WITTED, FUNNIEST, MOST
DOWN-TO-EARTH, REAL HUMAN BEINGS",231.931,4.638
"I EVER HAD THE OPPORTUNITY TO
WORK WITH.",236.569,2.269
SHE DOES AMAZING WORK IF THIS.,238.838,3.67
"YEAH, IT WAS DEFINITELY A
HEARTBREAKER.",242.508,3.137
"( APPLAUSE )
&gt;&gt; Stephen: WELL, I UNDERSTAND",245.645,2.369
"THAT YOU STARTED MAKING FILMS AT
A PRETTY EARLY AGE AND YOU WERE",248.014,4.671
"INTERESTED IN SCIENCE FICTION
AND FANTASY PRETTY EARLY ON.",252.685,5.105
"WE HAVE A SCHOLARSHIP OF THE
FIRST FILM YOU DID HERE.",257.79,3.137
"CAN YOU SET UP THE CLIP, WHAT
IT&#39;S ABOUT?",260.927,2.302
"&gt;&gt; I HAD AN AFFINITY PORE THE
CLASSICS AS WELL, SO, I BELIEVE",263.229,4.571
"THIS CLIP WILL BE OF MY FIRST
LEAD ROLE, AND IT&#39;S A MONSTER",267.8,5.506
"THAT ENDS UP MUCH LIKE DARTH
VADER BEING KILLED BY LOVE.",273.306,6.106
&gt;&gt; Stephen: OKAY.,279.412,2.469
JIM?,281.881,1.235
"( SOFT MUSIC )
( APPLAUSE )",287.353,16.417
&gt;&gt; THANK YOU.,309.809,0.434
THANK YOU.,310.243,0.6
&gt;&gt; Stephen: BEAUTIFUL.,310.843,1.435
CHILLING.,312.278,0.601
&gt;&gt; YEAH.,312.879,0.233
"&gt;&gt; Stephen: A CHILLING MOMENT
OF REALIZATION.",313.112,2.469
IS IT A VAMPIRE?,315.581,3.204
&gt;&gt; YEAH.,318.785,0.233
"( LAUGHTER )
&gt;&gt; Stephen: WHO WERE THE OTHER",319.018,1.969
ACTORS IN THAT FILM?,320.987,2.035
"&gt;&gt; MY SISTER AND MY COUSIN IN MY
DAD&#39;S BATHROBE AS A NINJA.",323.022,4.938
"&gt;&gt; Stephen: SO A NINJA FIGHT
AGO MONSTER.",327.96,3.304
&gt;&gt; UNDEAD.,331.264,0.267
&gt;&gt; Stephen: UNDEAD MONSTER.,331.531,1.802
WITH STRAWBERRY QUICK.,333.333,2.902
"&gt;&gt; Stephen: AND HOW DOES LOVE
KILL HIM?",336.235,2.369
