Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
289.txt	1	98	4.08	15.37	82.17	81.07	98.00	14.29	90.82	61.22	23.47	12.24	9.18	0.00	2.04	0.00	1.02	11.22	4.08	9.18	15.31	8.16	10.20	1.02	18.37	4.08	3.06	0.00	6.12	3.06	5.10	4.08	1.02	1.02	0.00	0.00	4.08	0.00	1.02	0.00	1.02	14.29	3.06	2.04	0.00	3.06	0.00	6.12	1.02	1.02	0.00	0.00	2.04	0.00	0.00	0.00	2.04	2.04	0.00	0.00	2.04	0.00	0.00	0.00	16.33	4.08	8.16	0.00	6.12	2.04	2.04	0.00	0.00	0.00	0.00	0.00	1.02	0.00	0.00	0.00	1.02	0.00	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00
262.txt	1	783	17.72	51.53	43.71	99.00	783.00	12.26	87.99	56.58	18.65	8.17	4.60	0.38	2.17	0.00	1.02	10.47	5.49	9.58	10.98	9.20	9.07	0.64	18.01	6.90	2.81	1.92	1.79	2.55	6.64	6.51	0.13	0.00	0.00	0.00	6.00	0.00	0.00	0.00	0.26	10.86	1.79	1.53	1.28	2.55	1.40	2.94	4.21	2.04	0.77	1.28	4.34	1.28	0.13	0.00	2.68	5.11	0.77	0.89	1.53	2.17	0.26	3.45	14.30	1.53	12.01	2.04	5.75	4.60	0.51	0.77	0.13	0.13	0.13	0.00	2.17	0.00	0.00	1.40	0.64	0.00	4.47	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.00	3.83	0.00	0.00
276.txt	1	408	20.36	19.56	57.02	99.00	408.00	9.80	88.97	60.54	21.57	8.82	7.11	0.49	0.49	0.25	0.49	12.75	5.64	12.25	9.56	9.56	9.07	0.25	16.18	7.35	5.15	0.74	4.41	2.70	7.84	7.35	0.49	0.00	0.00	0.00	3.68	0.00	0.25	0.25	0.25	9.80	1.47	0.00	1.23	1.72	0.74	5.64	3.68	2.45	0.00	0.49	1.96	0.00	0.25	0.00	0.74	4.90	1.47	0.25	1.23	1.96	0.00	4.41	11.27	1.23	9.31	0.98	5.88	2.70	0.00	0.25	0.98	0.49	0.74	0.00	2.45	0.25	0.74	0.49	0.98	0.00	5.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.98
15.txt	1	32	29.29	50.00	99.00	99.00	32.00	6.25	87.50	53.12	18.75	12.50	6.25	6.25	0.00	0.00	0.00	6.25	6.25	9.38	6.25	6.25	6.25	6.25	25.00	3.12	3.12	3.12	0.00	0.00	6.25	6.25	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	9.38	0.00	0.00	0.00	0.00	3.12	6.25	3.12	3.12	0.00	0.00	3.12	3.12	0.00	0.00	0.00	12.50	6.25	3.12	3.12	3.12	3.12	6.25	15.62	3.12	25.00	6.25	15.62	6.25	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	3.12	3.12	0.00	0.00	9.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.38	0.00	0.00
114.txt	1	82	14.41	54.84	48.21	88.08	82.00	8.54	86.59	62.20	15.85	8.54	3.66	1.22	0.00	1.22	2.44	7.32	3.66	10.98	9.76	10.98	13.41	0.00	13.41	3.66	1.22	2.44	1.22	0.00	6.10	4.88	1.22	0.00	1.22	0.00	6.10	0.00	0.00	0.00	2.44	9.76	0.00	2.44	1.22	1.22	2.44	2.44	3.66	3.66	0.00	0.00	2.44	2.44	0.00	0.00	0.00	7.32	1.22	2.44	2.44	4.88	0.00	1.22	13.41	4.88	17.07	2.44	7.32	7.32	1.22	0.00	0.00	2.44	0.00	0.00	3.66	0.00	1.22	1.22	2.44	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22
100.txt	1	16	11.24	10.58	74.76	99.00	16.00	0.00	100.00	68.75	18.75	0.00	0.00	0.00	0.00	0.00	0.00	18.75	6.25	12.50	25.00	12.50	0.00	0.00	25.00	12.50	0.00	0.00	0.00	0.00	12.50	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.75	0.00	0.00	0.00	6.25	0.00	12.50	6.25	0.00	0.00	0.00	12.50	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	18.75	6.25	0.00	12.50	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00
128.txt	1	478	33.23	45.02	67.00	76.12	478.00	13.60	85.15	57.74	19.04	10.67	6.28	0.21	2.72	0.00	1.46	8.37	6.69	12.97	10.88	8.37	7.53	0.42	22.18	3.97	2.72	0.84	0.84	1.88	4.39	3.56	0.84	0.00	0.00	0.00	5.86	0.00	0.00	0.00	0.00	14.64	1.67	5.23	1.88	2.72	1.05	3.35	2.72	1.46	0.21	1.05	0.00	0.00	0.00	0.00	0.00	5.02	0.63	0.42	2.30	1.67	0.21	3.97	14.23	2.30	14.23	3.14	6.69	4.39	2.72	0.63	0.00	0.00	0.00	0.00	0.84	0.00	0.42	0.00	0.42	0.00	5.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.65	0.00	0.00
316.txt	1	242	28.36	45.08	96.40	92.16	242.00	11.98	92.15	57.02	19.83	11.98	7.85	0.83	2.48	0.00	0.83	7.85	4.55	13.64	9.92	7.44	8.68	0.83	19.83	4.13	3.72	0.83	2.07	2.48	4.96	4.55	0.41	0.00	0.00	0.00	7.85	0.00	0.41	0.41	0.00	12.81	3.72	0.41	1.65	2.89	2.07	3.72	4.55	1.24	0.83	1.65	0.83	0.00	0.41	0.00	0.00	7.02	2.48	0.83	2.48	1.65	0.00	3.72	13.22	4.55	18.18	4.96	5.37	7.85	1.65	0.83	0.00	0.83	0.41	0.00	1.24	0.00	0.41	0.83	0.00	0.00	5.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.96	0.00	0.41
303.txt	1	791	19.85	38.06	72.16	92.44	791.00	11.25	89.13	57.40	20.73	11.76	7.59	1.26	1.52	0.38	1.01	8.98	5.82	10.75	9.23	8.22	9.99	0.76	21.24	6.19	3.16	1.14	1.26	0.76	4.68	4.42	0.25	0.13	0.00	0.13	6.70	0.38	0.13	0.25	0.38	8.98	1.01	1.39	1.01	1.39	0.51	4.17	5.44	3.29	0.51	1.14	4.17	1.77	0.13	0.00	1.64	6.57	2.53	1.14	1.39	2.02	0.13	3.67	15.30	2.53	13.15	3.29	6.07	3.92	0.13	0.51	1.26	1.01	0.25	0.13	1.90	0.00	0.51	0.38	1.01	0.00	6.45	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	6.19	0.00	0.00
317.txt	1	212	16.81	66.45	63.78	77.79	212.00	8.96	91.04	61.32	24.06	15.57	9.91	0.47	4.72	0.47	0.00	8.49	3.30	14.62	13.21	5.66	8.49	0.47	21.70	4.25	2.36	1.89	1.89	1.42	3.77	3.30	0.47	0.00	0.00	0.00	10.38	0.00	2.36	0.47	0.47	7.08	2.36	0.94	0.94	1.89	1.42	0.94	2.83	1.89	0.94	0.00	1.42	0.00	0.00	0.00	1.42	5.66	1.89	1.42	0.47	1.89	0.00	6.13	13.21	0.47	11.32	0.47	6.13	4.72	6.13	5.19	0.47	0.00	0.00	0.00	1.89	0.00	0.00	0.47	0.94	0.00	6.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.13	0.00	0.00
