Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
289.txt	1	2048	13.73	24.40	90.19	74.03	682.67	11.33	90.82	58.94	21.63	13.96	10.69	1.51	1.37	0.15	0.24	7.67	4.05	12.06	11.13	8.98	8.69	1.46	22.80	2.88	1.61	1.32	1.81	1.86	4.39	3.47	0.88	0.20	0.24	0.24	5.96	0.29	0.63	0.59	0.34	12.30	1.17	2.59	1.81	3.08	0.98	3.56	2.69	1.90	0.34	0.29	2.54	0.68	0.54	0.00	1.17	6.59	2.44	1.22	1.32	2.00	0.10	3.47	16.94	3.32	15.28	3.12	6.20	6.01	1.07	1.95	0.59	0.15	0.10	0.05	3.37	0.05	1.66	0.88	0.59	0.10	7.52	0.20	0.00	0.34	0.00	0.00	0.00	0.34	0.00	6.64	0.00	0.00
262.txt	1	1458	16.34	38.92	89.31	74.33	1458.00	11.66	92.18	58.57	20.92	13.85	9.26	1.51	2.33	0.34	0.41	7.06	5.28	10.63	11.18	8.02	8.30	1.71	21.40	5.14	2.67	1.37	1.37	2.81	4.80	3.70	1.10	0.07	0.14	0.14	7.34	0.00	0.07	0.07	0.41	12.21	2.88	1.30	1.30	2.81	2.13	2.95	4.12	2.06	0.14	1.65	2.13	1.03	0.48	0.00	0.62	6.58	2.40	0.62	1.51	1.92	0.34	4.46	14.61	2.13	15.02	3.02	5.08	7.20	0.96	1.71	0.27	0.21	0.14	0.14	1.99	0.07	0.07	1.10	0.75	0.00	5.56	0.00	0.00	0.07	0.00	0.00	0.00	0.14	0.00	5.28	0.00	0.07
276.txt	1	2788	14.12	46.99	62.11	95.51	2788.00	9.00	91.89	60.33	22.70	11.05	6.60	1.61	1.76	0.32	0.75	11.66	4.66	11.76	11.44	8.72	8.14	0.97	20.80	5.16	4.30	1.15	1.83	2.91	5.45	5.06	0.36	0.07	0.07	0.14	6.89	0.11	0.22	0.29	0.29	10.87	1.76	1.08	1.29	2.40	1.58	3.41	2.98	2.08	0.29	0.32	1.76	0.32	0.18	0.04	0.54	7.10	2.69	0.75	1.61	2.33	0.07	4.52	13.88	2.76	12.70	2.47	6.60	3.84	0.32	0.72	1.83	1.29	0.61	0.00	3.52	0.04	1.08	1.04	1.51	0.00	5.27	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	4.88	0.00	0.25
29.txt	1	1622	19.84	87.42	71.54	96.03	1622.00	10.36	92.11	58.08	20.22	14.80	5.36	4.50	2.96	1.23	0.74	5.43	5.12	11.16	9.43	8.75	8.94	1.29	21.15	4.69	2.47	1.42	0.99	1.42	6.41	5.61	0.80	0.06	0.25	0.18	14.30	0.25	0.25	1.60	0.37	11.90	2.34	1.66	1.85	1.85	1.60	3.58	4.75	2.90	1.23	0.55	2.22	0.68	0.31	0.00	0.62	10.67	6.17	1.05	2.34	1.60	0.31	2.96	15.97	2.77	16.21	2.96	8.32	5.24	0.74	2.03	0.80	0.06	0.31	0.00	2.16	0.06	0.31	1.29	0.49	0.00	4.75	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	4.56	0.00	0.00
15.txt	1	1367	44.65	81.59	77.49	92.94	1367.00	12.80	88.59	52.45	16.61	10.83	3.80	4.24	2.49	0.22	0.07	5.78	5.56	12.51	9.00	7.24	6.58	1.02	20.70	4.75	2.12	1.61	1.61	2.93	5.93	5.05	0.80	0.07	0.44	0.07	10.10	0.15	1.10	0.22	0.73	11.12	2.05	1.39	1.17	2.93	1.98	2.85	3.22	2.05	0.51	0.66	1.02	0.37	0.00	0.00	0.51	9.73	5.12	0.73	2.12	2.12	0.00	3.66	14.56	2.78	18.22	4.90	8.41	5.34	1.02	1.32	0.66	0.37	0.07	0.00	4.39	0.15	0.44	2.49	1.17	0.07	5.85	0.00	0.15	0.07	0.00	0.00	0.00	0.29	0.00	5.27	0.00	0.07
114.txt	1	3669	10.20	52.94	82.71	77.86	917.25	10.22	92.15	60.64	22.32	14.06	7.44	1.61	3.38	1.04	0.60	8.26	4.63	10.79	12.86	8.26	7.93	2.34	23.60	3.71	3.41	1.80	1.91	2.23	4.80	3.82	0.98	0.08	0.11	0.33	9.84	0.27	0.22	0.38	1.06	12.18	2.40	1.55	1.53	2.37	1.47	4.17	3.22	1.50	0.93	0.68	1.58	0.79	0.14	0.00	0.52	6.27	2.48	0.63	1.28	2.10	0.19	5.45	15.97	2.07	15.21	2.81	6.08	6.81	0.60	1.99	0.44	0.55	0.27	0.08	3.00	0.14	0.68	1.06	1.06	0.11	7.28	0.16	0.00	0.14	0.00	0.00	0.00	0.19	0.00	6.79	0.00	0.00
100.txt	1	1146	23.47	82.70	66.53	88.98	382.00	11.17	93.28	59.86	17.89	11.08	3.66	3.14	2.18	1.31	0.79	6.81	5.85	12.39	12.13	8.81	8.55	1.48	20.94	3.75	2.53	2.27	2.62	1.92	5.58	4.62	0.87	0.44	0.26	0.09	11.78	0.61	0.17	0.35	2.27	9.60	2.18	1.57	1.22	1.57	1.66	2.44	2.53	0.79	0.61	1.05	2.44	0.79	0.61	0.09	0.96	8.64	3.93	0.87	2.36	1.83	0.09	4.45	16.14	2.44	17.80	3.32	8.38	6.63	0.44	2.09	1.22	0.09	0.26	0.00	2.97	0.09	0.26	1.57	1.13	0.00	5.50	0.35	0.00	0.44	0.00	0.00	0.00	0.00	0.00	4.71	0.00	0.00
128.txt	1	1130	26.50	69.93	85.82	83.83	1130.00	9.82	93.01	58.32	16.55	10.35	4.34	4.07	1.33	0.18	0.44	6.19	5.93	12.92	11.33	9.47	9.65	1.15	24.42	4.42	2.83	1.24	1.33	3.10	5.04	4.16	0.88	0.00	0.18	0.27	8.50	0.00	0.53	0.35	0.27	10.35	1.06	1.68	1.15	2.21	1.59	3.10	3.01	1.33	0.35	0.97	1.42	0.35	0.09	0.00	0.88	10.35	5.13	1.15	1.77	2.39	0.35	5.22	16.28	3.45	20.27	5.75	7.52	8.14	1.24	1.42	0.27	0.27	0.09	0.09	3.54	0.09	2.30	0.97	0.09	0.09	6.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.28	0.00	0.00
316.txt	1	7468	25.42	57.03	77.99	91.80	2489.33	10.52	90.22	58.07	18.51	11.96	6.74	2.44	1.82	0.39	0.58	6.55	6.29	11.84	10.93	8.60	8.48	1.38	20.69	4.22	2.24	1.57	1.30	2.22	5.58	4.82	0.74	0.09	0.16	0.16	8.82	0.28	0.44	0.48	0.58	9.61	1.54	1.37	0.79	2.33	1.19	3.12	2.97	1.54	0.66	0.48	2.52	0.60	0.23	0.04	1.57	7.93	3.62	0.78	1.73	1.87	0.23	3.44	14.48	2.72	15.41	3.70	7.12	5.01	0.95	1.79	0.50	0.46	0.19	0.05	2.75	0.08	0.35	1.27	1.02	0.04	5.92	0.05	0.01	0.08	0.00	0.00	0.00	0.25	0.00	5.49	0.00	0.03
302.txt	1	3306	21.18	68.35	78.24	83.36	1102.00	12.10	90.96	57.86	19.33	12.52	5.66	2.00	3.21	0.97	0.70	6.78	5.75	11.16	11.04	8.08	8.20	1.97	20.63	3.39	1.72	1.42	1.27	2.66	5.20	4.20	0.97	0.21	0.30	0.18	11.40	0.27	0.57	0.57	0.85	11.13	1.66	1.12	0.85	2.78	1.54	4.11	2.87	1.85	0.42	0.45	1.81	0.85	0.24	0.09	0.64	8.08	3.87	0.73	1.57	1.94	0.24	3.60	14.88	2.57	16.06	3.54	7.65	5.23	1.24	1.91	0.57	0.42	0.06	0.12	2.93	0.09	0.36	1.42	0.67	0.12	5.93	0.12	0.00	0.03	0.00	0.00	0.00	0.18	0.00	5.60	0.00	0.00
