URL,Title,Channel,Contains ad,Sentiment,Product name,Affiliate link,Sponsorship disclosure,Sponsorship disclosure II,Note
https://www.youtube.com/watch?v=91aP3dZr6-4,HUGE SUMMER CLOTHING HAUL!,,,,Hello Fresh,Get $35 off your first week of deliveries of Hello Fresh: http://bit.ly/2nETC2x using promo code aspynparker30 :) ,Thank you Hello Fresh for sponsoring this video!,,
https://www.youtube.com/watch?v=91aP3dZr6-4,HUGE SUMMER CLOTHING HAUL!,,,,Luca + Grae clothing,CHECK OUT MY ONLINE CLOTHING STORE // http://www.lucaandgrae.com,,,Own brand
https://www.youtube.com/watch?v=MpVfH5QDbPo,THE VLOG IS BACK,Casey neistat,,,,"my gear-
MY FAVORITE DRONE; http://amzn.to/2d6cP7v
BIG CAMERA; http://tinyurl.com/jn4q4vz
BENDY TRIPOD THING; http://tinyurl.com/gw3ylz2
YOU NEED THIS FOR THE BENDY TRIPOD; http://tinyurl.com/j8mzzua
WIDE LENS; http://tinyurl.com/jkfcm8t
MORE EXPENSIVE WIDE LENS; http://tinyurl.com/zrdgtou
SMALL CAMERA; http://tinyurl.com/hrrzhor
MICROPHONE; http://tinyurl.com/zefm4jy
OTHER MICROPHONE; http://tinyurl.com/jxgpj86
DRONE; http://tinyurl.com/h4ft3oy
OLD DRONE (cheaper but still great);http://tinyurl.com/zcfmnmd
EXPENSIVE CAMERA I DON’T USE ENOUGH; http://tinyurl.com/hurfrub",None,,Multiple affiliate links
https://www.youtube.com/watch?v=PTAsxwdUHoY,"$38,000 A NIGHT OVERWATER VILLA TOUR!",Aspyn & parker,,,,ST. REGIS MALDIVES RESORT // http://www.stregismaldives.com,"
*Some links may be affiliate*",,
https://www.youtube.com/watch?v=cchfO5uZfFo,5 STAR RESORT EXPERIENCE AT ST. REGIS MALDIVES!,Aspyn & parker,,,,ST. REGIS MALDIVES RESORT // http://www.stregismaldives.com,"
*Some links may be affiliate*",,
https://www.youtube.com/watch?v=WKSa0awk5kE,BORA BORA TRAVEL DIARY | PART ONE,Danielle Mansutti,yes,,Tarte cosmetics,http://tartecosmetics.com/,I'm forever grateful to Tarte Cosmetics for looking after us so well,,The trip was sponsored
https://www.youtube.com/watch?v=9Q03QMe8cik,I DON'T WANT TO DIE ALONE - Dubai travel diary pt 1,Kenza Zouiten,yes,,Dubai tourism,,"I was invited by Dubai Tourism to explore Dubai and share it on my Instagram. This vlog was not in the contract so I did not get paid for it, I made it because I wanted to. Just so you know. :-)",,NOT sponsored
https://www.youtube.com/watch?v=YocF0pqNOAU,Travel Diary: The Maldives // Coco Bodhu Hithi,Danielle Mansutti,yes,,Coco Palm Bodhu Hithi,"
Thank you to the following for making this all possible:
www.cocoboduhithi.com
@coco.resorts
www.theasiacollective.com
@theasia.collective",,,
https://www.youtube.com/watch?v=jktoyE6lOkg,Travel Diary: The Maldives 2 // Sun Siyam Iru Fushi,Danielle Mansutti,yes,,Sun Siyam Iru Fushi,"Thank you to the following for making this all possible:
www.thesunsiyam.com
@thesunsiyamirufushi
www.theasiacollective.com
@theasia.collective",,,
https://www.youtube.com/watch?v=6Zq_T7fJxBk,Jenn Goes To Dubai,Clothesencounters,,,,"I was sent to Dubai by Beautiful Destinations: http://instagram.com/beautifuldestina...
I stayed at the Burj Al Arab: http://instagram.com/burjalarab",I went to Dubai for two days for the #WorldsUltimateInstameet. It's an event where 5 winners and 5 digital influencers met up to document our trip. Huge thank you to Beautiful Destinations and the Jumeirah team for sending and housing me at the Burj Al Arab.,,
https://www.youtube.com/watch?v=kZ2trMS3Bm8,5 Days In IBIZA // sam evans (HD),Sam evans,,,,book your Ibiza adventure N O W // https://www.togetherweek.com/together...,,,
https://www.youtube.com/watch?v=eWnuulF4dt4,"Santorini, Greece! // June 2015",Alex Centomo vlogs,,,,"Check out the San Antonio Hotel:
http://bit.ly/1MvHHsX",,,
